galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.zeroth_coefficient,    log_likelihood,            log_prior,     log_posterior,weight
                                            1.009838909081516,                                             1.009115348294768,222512.97699750628,-0.018864876430933014,222512.95813262984,   1.0
                                            1.009838909081516,                                             1.009115348294768,222512.97699750628,-0.018864876430933014,222512.95813262984,   1.0
                                            1.009838919081516,                                             1.009115348294768,222512.97699750605,-0.018864886333502424, 222512.9581326197,   1.0
                                            1.009838909081516,                                            1.0091153582947678,222512.97699750628,-0.018864886340602814,222512.95813261994,   1.0
                                          0.29455831029480495,                                            0.3102779816640732,222512.99375104948,   2.3925649661502817,222515.38631601562,   1.0
                                          0.29455832029480494,                                            0.3102779816640732,222512.99375104927,   2.3925649322011466,222515.38631598148,   1.0
                                          0.29455831029480495,                                            0.3102779916640732,222512.99375104948,   2.3925649339211175, 222515.3863159834,   1.0
                                          -2.5665640848520392,                                            -2.485071484858705,               nan,                 -inf,               nan,   1.0
                                          -2.5665640748520393,                                            -2.485071484858705,               nan,                 -inf,               nan,   1.0
                                          -2.5665640848520392,                                           -2.4850714748587053,               nan,                 -inf,               nan,   1.0
                                          0.29455831029480495,                                            0.3102779816640732,222512.99375104948,   2.3925649661502817,222515.38631601562,   1.0
                                          0.29455832029480494,                                            0.3102779816640732,222512.99375104927,   2.3925649322011466,222515.38631598148,   1.0
                                          0.29455831029480495,                                            0.3102779916640732,222512.99375104948,   2.3925649339211175, 222515.3863159834,   1.0
                                           -6.533200318448753,                                           -6.1333100848483895,               nan,                 -inf,               nan,   1.0
                                           -6.533200308448753,                                           -6.1333100848483895,               nan,                 -inf,               nan,   1.0
                                           -6.533200318448753,                                           -6.1333100748483895,               nan,                 -inf,               nan,   1.0
                                          0.29455831029480495,                                            0.3102779816640732,222512.99375104948,   2.3925649661502817,222515.38631601562,   1.0
                                          0.29455832029480494,                                            0.3102779816640732,222512.99375104927,   2.3925649322011466,222515.38631598148,   1.0
                                          0.29455831029480495,                                            0.3102779916640732,222512.99375104948,   2.3925649339211175, 222515.3863159834,   1.0
                                          0.29455831029480495,                                            0.3102779816640732,222512.99375104948,   2.3925649661502817,222515.38631601562,   1.0
