galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,            log_prior,     log_posterior,weight
                                           1.0220087015956725,222589.87865597664, -0.02177000602674632,222589.85688597063,   1.0
                                           1.0220087015956725,222589.87865597664, -0.02177000602674632,222589.85688597063,   1.0
                                           1.0220087115956724,222589.87865597577,-0.021770015811398716,222589.85688595995,   1.0
                                          0.02200870159567247, 222589.9661166186,   3.8163173767480143,222593.78243399534,   1.0
                                         0.022008711595672473,222589.96611661775,   3.8163169223823767,222593.78243354012,   1.0
                                          -3.9779912984043277,               nan,                 -inf,               nan,   1.0
                                           -3.977991288404328,               nan,                 -inf,               nan,   1.0
                                          0.02200870159567247, 222589.9661166186,   3.8163173767480143,222593.78243399534,   1.0
                                         0.022008711595672473,222589.96611661775,   3.8163169223823767,222593.78243354012,   1.0
                                           -91.02059371790601,               nan,                 -inf,               nan,   1.0
                                           -91.02059370790602,               nan,                 -inf,               nan,   1.0
                                          0.02200870159567247, 222589.9661166186,   3.8163173767480143,222593.78243399534,   1.0
                                         0.022008711595672473,222589.96611661775,   3.8163169223823767,222593.78243354012,   1.0
                                          0.02200870159567247, 222589.9661166186,   3.8163173767480143,222593.78243399534,   1.0
