galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.zeroth_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           1.0688482497647394,                                            1.0389506599253218,222589.87452157307,-0.10479288959642163, 222589.7697286835,   1.0
                                           1.0688482497647394,                                            1.0389506599253218,222589.87452157307,-0.10479288959642163, 222589.7697286835,   1.0
                                           1.0688482597647393,                                            1.0389506599253218, 222589.8745215722,-0.10479289895228659,222589.76972867324,   1.0
                                           1.0688482497647394,                                            1.0389506699253217,222589.87452157307,-0.10479289922151769,222589.76972867385,   1.0
                                           0.3403445322315749,                                             0.353908811904079,222589.93842428183,    2.11651283687399,222592.05493711872,   1.0
                                           0.3403445422315749,                                             0.353908811904079,  222589.938424281,  2.1165128074919988,222592.05493708848,   1.0
                                           0.3403445322315749,                                             0.353908821904079,222589.93842428183,  2.1165128086181237,222592.05493709046,   1.0
                                           -2.573670337901083,                                            -2.386258580180892,               nan,                -inf,               nan,   1.0
                                           -2.573670327901083,                                            -2.386258580180892,               nan,                -inf,               nan,   1.0
                                           -2.573670337901083,                                            -2.386258570180892,               nan,                -inf,               nan,   1.0
                                           0.3403445322315749,                                             0.353908811904079,222589.93842428183,    2.11651283687399,222592.05493711872,   1.0
                                           0.3403445422315749,                                             0.353908811904079,  222589.938424281,  2.1165128074919988,222592.05493708848,   1.0
                                           0.3403445322315749,                                             0.353908821904079,222589.93842428183,  2.1165128086181237,222592.05493709046,   1.0
                                          -5.7074314398609705,                                             -5.29805506576855,               nan,                -inf,               nan,   1.0
                                          -5.7074314298609705,                                             -5.29805506576855,               nan,                -inf,               nan,   1.0
                                          -5.7074314398609705,                                             -5.29805505576855,               nan,                -inf,               nan,   1.0
                                           0.3403445322315749,                                             0.353908811904079,222589.93842428183,    2.11651283687399,222592.05493711872,   1.0
                                           0.3403445422315749,                                             0.353908811904079,  222589.938424281,  2.1165128074919988,222592.05493708848,   1.0
                                           0.3403445322315749,                                             0.353908821904079,222589.93842428183,  2.1165128086181237,222592.05493709046,   1.0
                                           0.3403445322315749,                                             0.353908811904079,222589.93842428183,    2.11651283687399,222592.05493711872,   1.0
