galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,            log_prior,     log_posterior,weight
                                           1.0519093855046544,222681.07687647291,-0.050606975153797626,222681.02626949776,   1.0
                                           1.0519093855046544,222681.07687647291,-0.050606975153797626,222681.02626949776,   1.0
                                           1.0519093955046543,  222681.076876471, -0.05060698466031979,222681.02626948632,   1.0
                                           0.0519093855046544, 222681.2669312823,   2.9582556669195883,222684.22518694922,   1.0
                                           0.0519093955046544,222681.26693128044,    2.958255474276217,222684.22518675472,   1.0
                                           -3.948090614495345,               nan,                 -inf,               nan,   1.0
                                           -3.948090604495345,               nan,                 -inf,               nan,   1.0
                                           0.0519093855046544, 222681.2669312823,   2.9582556669195883,222684.22518694922,   1.0
                                           0.0519093955046544,222681.26693128044,    2.958255474276217,222684.22518675472,   1.0
                                           -38.84827039644853,               nan,                 -inf,               nan,   1.0
                                          -38.848270386448526,               nan,                 -inf,               nan,   1.0
                                           0.0519093855046544, 222681.2669312823,   2.9582556669195883,222684.22518694922,   1.0
                                           0.0519093955046544,222681.26693128044,    2.958255474276217,222684.22518675472,   1.0
                                           0.0519093855046544, 222681.2669312823,   2.9582556669195883,222684.22518694922,   1.0
