galaxies.source.pixelization.regularization.inner_coefficient,   log_likelihood,             log_prior,     log_posterior,weight
                                           1.0046954831333874,429342.8312808926,-0.0046844937393753575,429342.82659639884,   1.0
                                           1.0046954831333874,429342.8312808926,-0.0046844937393753575,429342.82659639884,   1.0
                                           1.0046954931333874,429342.8312808923, -0.004684503692639861, 429342.8265963886,   1.0
                                         0.004695483133387414,429342.8632293551,     5.361154267806259, 429348.2243836229,   1.0
                                         0.004695493133387414,429342.8632293548,     5.361152138102229, 429348.2243814929,   1.0
                                          -3.9953045168666126,              nan,                  -inf,               nan,   1.0
                                          -3.9953045068666126,              nan,                  -inf,               nan,   1.0
                                         0.004695483133387414,429342.8632293551,     5.361154267806259, 429348.2243836229,   1.0
                                         0.004695493133387414,429342.8632293548,     5.361152138102229, 429348.2243814929,   1.0
                                           -425.9938916806991,              nan,                  -inf,               nan,   1.0
                                           -425.9938916706991,              nan,                  -inf,               nan,   1.0
                                         0.004695483133387414,429342.8632293551,     5.361154267806259, 429348.2243836229,   1.0
                                         0.004695493133387414,429342.8632293548,     5.361152138102229, 429348.2243814929,   1.0
                                         0.004695483133387414,429342.8632293551,     5.361154267806259, 429348.2243836229,   1.0
