galaxies.source.pixelization.regularization.coefficient,    log_likelihood,          log_prior,     log_posterior,weight
                                     1077.7135680865479, 222510.6747185184, -6.982597009378362,222503.69212150903,   1.0
                                     1077.7135680865479, 222510.6747185184, -6.982597009378362,222503.69212150903,   1.0
                                     1077.7135680965478,222510.67471851833, -6.982597009387641,222503.69212150894,   1.0
                                     1076.7135680865479,222510.68169979163, -6.981668688290102,222503.70003110333,   1.0
                                     1076.7135680965478,222510.68169979154, -6.981668688299389,222503.70003110325,   1.0
                                     1072.7135680865479,222510.70957641318, -6.977946762061238,222503.73162965113,   1.0
                                     1072.7135680965478, 222510.7095764131,  -6.97794676207056,  222503.731629651,   1.0
                                     1056.7135680865479,  222510.820303888, -6.962918963419958,222503.85738492457,   1.0
                                     1056.7135680965478,222510.82030388794, -6.962918963429422,222503.85738492451,   1.0
                                     1014.7135680865479, 222511.1049546538, -6.922361652720768,222504.18259300108,   1.0
                                     1014.7135680965479,222511.10495465374, -6.922361652730623,  222504.182593001,   1.0
                                      846.7135680865479,222512.15226946946,-6.7413624651880175,222505.41090700426,   1.0
                                      846.7135680965479, 222512.1522694694,-6.7413624651998285, 222505.4109070042,   1.0
                                      510.7135680865477,222513.75575683924, -6.235808900926586, 222507.5199479383,   1.0
                                      510.7135680965477, 222513.7557568392, -6.235808900946167,222507.51994793827,   1.0
                                    -35.274017461757865,               nan,               -inf,               nan,   1.0
                                    -35.274017451757864,               nan,               -inf,               nan,   1.0
                                      510.7135680865477,222513.75575683924, -6.235808900926586, 222507.5199479383,   1.0
                                      510.7135680965477, 222513.7557568392, -6.235808900946167,222507.51994793827,   1.0
                                      510.7135680865477,222513.75575683924, -6.235808900926586, 222507.5199479383,   1.0
