galaxies.source.pixelization.regularization.inner_coefficient,   log_likelihood,           log_prior,     log_posterior,weight
                                           1.0633390478612297,222588.3204081657,-0.06141400227836859,222588.25899416342,   1.0
                                           1.0633390478612297,222588.3204081657,-0.06141400227836859,222588.25899416342,   1.0
                                           1.0633390578612296,222588.3204081637,-0.06141401168270666,  222588.258994152,   1.0
                                           0.0633390478612297,222588.5156483699,  2.7592532701723496,222591.27490164008,   1.0
                                          0.06333905786122969, 222588.515648368,  2.7592531122918706,222591.27490148027,   1.0
                                          -3.9366609521387708,              nan,                -inf,               nan,   1.0
                                           -3.936660942138771,              nan,                -inf,               nan,   1.0
                                           0.0633390478612297,222588.5156483699,  2.7592532701723496,222591.27490164008,   1.0
                                          0.06333905786122969, 222588.515648368,  2.7592531122918706,222591.27490148027,   1.0
                                          -31.898487576547016,              nan,                -inf,               nan,   1.0
                                          -31.898487566547015,              nan,                -inf,               nan,   1.0
                                           0.0633390478612297,222588.5156483699,  2.7592532701723496,222591.27490164008,   1.0
                                          0.06333905786122969, 222588.515648368,  2.7592531122918706,222591.27490148027,   1.0
                                           0.0633390478612297,222588.5156483699,  2.7592532701723496,222591.27490164008,   1.0
