galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           1.0356854337412926,222512.97638632602,-0.03506346234588188,222512.94132286368,   1.0
                                           1.0356854337412926,222512.97638632602,-0.03506346234588188,222512.94132286368,   1.0
                                           1.0356854437412926,222512.97638632575,-0.03506347200132316,222512.94132285376,   1.0
                                          0.03568543374129262, 222512.9997260882,   3.333012691909908, 222516.3327387801,   1.0
                                          0.03568544374129262,222512.99972608796,   3.333012411683565,222516.33273849965,   1.0
                                          -3.9643145662587074,               nan,                -inf,               nan,   1.0
                                          -3.9643145562587074,               nan,                -inf,               nan,   1.0
                                          0.03568543374129262, 222512.9997260882,   3.333012691909908, 222516.3327387801,   1.0
                                          0.03568544374129262,222512.99972608796,   3.333012411683565,222516.33273849965,   1.0
                                           -56.05321661307913,               nan,                -inf,               nan,   1.0
                                           -56.05321660307913,               nan,                -inf,               nan,   1.0
                                          0.03568543374129262, 222512.9997260882,   3.333012691909908, 222516.3327387801,   1.0
                                          0.03568544374129262,222512.99972608796,   3.333012411683565,222516.33273849965,   1.0
                                          0.03568543374129262, 222512.9997260882,   3.333012691909908, 222516.3327387801,   1.0
