galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,             log_prior,     log_posterior,weight
                                            1.004563277861009,222668.71729321993,-0.0045528976750597696,222668.71274032225,   1.0
                                            1.004563277861009,222668.71729321993,-0.0045528976750597696,222668.71274032225,   1.0
                                            1.004563287861009, 222668.7172932186,  -0.00455290762963417,222668.71274031096,   1.0
                                         0.004563277861008972,222668.84798074712,    5.3897140845211515,222674.23769483162,   1.0
                                         0.004563287861008972,222668.84798074578,     5.389711893116345,222674.23769263888,   1.0
                                           -3.995436722138991,               nan,                  -inf,               nan,   1.0
                                           -3.995436712138991,               nan,                  -inf,               nan,   1.0
                                         0.004563277861008972,222668.84798074712,    5.3897140845211515,222674.23769483162,   1.0
                                         0.004563287861008972,222668.84798074578,     5.389711893116345,222674.23769263888,   1.0
                                           -438.5435955789896,               nan,                  -inf,               nan,   1.0
                                           -438.5435955689896,               nan,                  -inf,               nan,   1.0
                                         0.004563277861008972,222668.84798074712,    5.3897140845211515,222674.23769483162,   1.0
                                         0.004563287861008972,222668.84798074578,     5.389711893116345,222674.23769263888,   1.0
                                         0.004563277861008972,222668.84798074712,    5.3897140845211515,222674.23769483162,   1.0
