galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           1.0809431550413238, 222558.3882354775,-0.07783395174371342,222558.31040152576,   1.0
                                           1.0809431550413238, 222558.3882354775,-0.07783395174371342,222558.31040152576,   1.0
                                           1.0809431650413237,222558.38823547622,-0.07783396099489359,222558.31040151522,   1.0
                                          0.08094315504132382,222558.51564370477,   2.514008160292588,222561.02965186507,   1.0
                                          0.08094316504132382,222558.51564370352,  2.5140080367491042,222561.02965174027,   1.0
                                           -3.919056844958676,               nan,                -inf,               nan,   1.0
                                           -3.919056834958676,               nan,                -inf,               nan,   1.0
                                          0.08094315504132382,222558.51564370477,   2.514008160292588,222561.02965186507,   1.0
                                          0.08094316504132382,222558.51564370352,  2.5140080367491042,222561.02965174027,   1.0
                                           -24.87850185779105,               nan,                -inf,               nan,   1.0
                                           -24.87850184779105,               nan,                -inf,               nan,   1.0
                                          0.08094315504132382,222558.51564370477,   2.514008160292588,222561.02965186507,   1.0
                                          0.08094316504132382,222558.51564370352,  2.5140080367491042,222561.02965174027,   1.0
                                          0.08094315504132382,222558.51564370477,   2.514008160292588,222561.02965186507,   1.0
