galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           1.0694826005218985,222573.56785221008,-0.06717498061125608,222573.50067722946,   1.0
                                           1.0694826005218985,222573.56785221008,-0.06717498061125608,222573.50067722946,   1.0
                                           1.0694826105218984,222573.56785220967,-0.06717498996157173, 222573.5006772197,   1.0
                                          0.06948260052189843,222573.61050638338,   2.666678909957635,222576.27718529335,   1.0
                                          0.06948261052189843,222573.61050638295,  2.6666787660367226,  222576.277185149,   1.0
                                          -3.9305173994781017,               nan,                -inf,               nan,   1.0
                                           -3.930517389478102,               nan,                -inf,               nan,   1.0
                                          0.06948260052189843,222573.61050638338,   2.666678909957635,222576.27718529335,   1.0
                                          0.06948261052189843,222573.61050638295,  2.6666787660367226,  222576.277185149,   1.0
                                          -28.801517227754356,               nan,                -inf,               nan,   1.0
                                          -28.801517217754355,               nan,                -inf,               nan,   1.0
                                          0.06948260052189843,222573.61050638338,   2.666678909957635,222576.27718529335,   1.0
                                          0.06948261052189843,222573.61050638295,  2.6666787660367226,  222576.277185149,   1.0
                                          0.06948260052189843,222573.61050638338,   2.666678909957635,222576.27718529335,   1.0
