galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.zeroth_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           0.9579334196337603,                                            1.0364563555990904,222681.09483888285,0.007169458235733589,222681.10200834108,   1.0
                                           0.9579334196337603,                                            1.0364563555990904,222681.09483888285,0.007169458235733589,222681.10200834108,   1.0
                                           0.9579334296337604,                                            1.0364563555990904,222681.09483888093,0.007169447796594716,222681.10200832874,   1.0
                                           0.9579334196337603,                                            1.0364563655990904,222681.09483888285,0.007169448587474078,222681.10200833145,   1.0
                                          0.16968362242495144,                                           0.42110096462549085,222681.24468035996,   2.638702273475026,222683.88338263344,   1.0
                                          0.16968363242495144,                                           0.42110096462549085,222681.24468035807,   2.638702214541821,222683.88338257262,   1.0
                                          0.16968362242495144,                                           0.42110097462549084,222681.24468035996,   2.638702249727752, 222683.8833826097,   1.0
                                          -2.9833155664102837,                                           -2.0403205992689073,               nan,                -inf,               nan,   1.0
                                           -2.983315556410284,                                           -2.0403205992689073,               nan,                -inf,               nan,   1.0
                                          -2.9833155664102837,                                           -2.0403205892689074,               nan,                -inf,               nan,   1.0
                                          0.16968362242495144,                                           0.42110096462549085,222681.24468035996,   2.638702273475026,222683.88338263344,   1.0
                                          0.16968363242495144,                                           0.42110096462549085,222681.24468035807,   2.638702214541821,222683.88338257262,   1.0
                                          0.16968362242495144,                                           0.42110097462549084,222681.24468035996,   2.638702249727752, 222683.8833826097,   1.0
                                          -11.995717514893066,                                            -4.328644168413506,               nan,                -inf,               nan,   1.0
                                          -11.995717504893065,                                            -4.328644168413506,               nan,                -inf,               nan,   1.0
                                          -11.995717514893066,                                            -4.328644158413506,               nan,                -inf,               nan,   1.0
                                          0.16968362242495144,                                           0.42110096462549085,222681.24468035996,   2.638702273475026,222683.88338263344,   1.0
                                          0.16968363242495144,                                           0.42110096462549085,222681.24468035807,   2.638702214541821,222683.88338257262,   1.0
                                          0.16968362242495144,                                           0.42110097462549084,222681.24468035996,   2.638702249727752, 222683.8833826097,   1.0
                                          0.16968362242495144,                                           0.42110096462549085,222681.24468035996,   2.638702273475026,222683.88338263344,   1.0
