mode,source_n_pixels,regularization,mesh_shape,phase1_chi2,phase1_log_evidence,chi2_per_datum,log_likelihood,cube_corr,spectrum_l1_line,sb_sum,tag,error
truth_sb,128,,,,,0.004322419872085749,2936180.95862233,0.9932881766373155,0.015407680495291277,0.0032327269471181305,src128_regnone_meshdefault_truthSB,
phase1,128,1000.0,20x20,0.8608938325522335,345339.39340581105,0.004866121852651598,2934902.171564039,0.7067087868397262,0.49493337569805523,0.0040236538382038296,src128_reg1e+03_mesh20x20,
phase1,128,10000.0,20x20,16.82398296108996,346235.4675068152,0.0048882402441316345,2934850.149107278,0.8261390087031136,0.35779462460709427,0.003894360105710962,src128_reg1e+04_mesh20x20,
phase1,128,100000.0,20x20,33.71222722868114,346642.44310670404,0.004870072396581307,2934892.879884716,0.8385501529400939,0.3118140270805012,0.003880277918654924,src128_reg1e+05_mesh20x20,
phase1,128,1000000.0,20x20,442.875789360554,346249.97467236355,0.0049687619407299205,2934660.762076879,0.8768089790897343,0.3523577456106101,0.004257661438762278,src128_reg1e+06_mesh20x20,
phase1,128,1000.0,30x30,0.8608938325522335,345339.39340581105,0.004866121852651598,2934902.171564039,0.7067087868397262,0.49493337569805523,0.0040236538382038296,src128_reg1e+03_mesh30x30,
phase1,128,10000.0,30x30,16.82398296108996,346235.4675068152,0.0048882402441316345,2934850.149107278,0.8261390087031136,0.35779462460709427,0.003894360105710962,src128_reg1e+04_mesh30x30,
phase1,128,100000.0,30x30,33.71222722868114,346642.44310670404,0.004870072396581307,2934892.879884716,0.8385501529400939,0.3118140270805012,0.003880277918654924,src128_reg1e+05_mesh30x30,
phase1,128,1000000.0,30x30,442.8757842142651,346249.9746735201,0.0049687619365391044,2934660.7620867356,0.876808979001392,0.3523577452874741,0.004257661433820751,src128_reg1e+06_mesh30x30,
truth_sb,256,,,,,3.897981514404001e-05,2946255.609636257,0.9979364216366245,0.01299772394746627,0.01302919597630394,src256_regnone_meshdefault_truthSB,
phase1,256,1000.0,20x20,0.8608938325522335,345339.39340581105,0.004861261879954919,2934913.6022198214,0.7064929816522386,0.49735799510752576,0.0040236538382038296,src256_reg1e+03_mesh20x20,
phase1,256,10000.0,20x20,16.82398296108996,346235.4675068152,0.004871470588325378,2934889.5913377344,0.8282701449781106,0.3620597627207669,0.003894360105710963,src256_reg1e+04_mesh20x20,
phase1,256,100000.0,20x20,33.71222722868114,346642.44310670404,0.004830871421570519,2934985.0805779416,0.8436534065163463,0.3152215246401679,0.003880277918654925,src256_reg1e+05_mesh20x20,
phase1,256,1000000.0,20x20,442.8757842142651,346249.9746735201,0.00492391988500696,2934766.2305919393,0.8836360107855499,0.3564856294783492,0.004257661433820751,src256_reg1e+06_mesh20x20,
phase1,256,1000.0,30x30,0.8608995349141488,345339.39311642153,0.004847604393892439,2934945.7246270403,0.7093136653945696,0.49740279840187346,0.004023647881348444,src256_reg1e+03_mesh30x30,
phase1,256,10000.0,30x30,16.82398296108996,346235.4675068152,0.004871470588325378,2934889.5913377344,0.8282701449781106,0.3620597627207669,0.003894360105710963,src256_reg1e+04_mesh30x30,
phase1,256,100000.0,30x30,33.71222722868114,346642.44310670404,0.004830871421570519,2934985.0805779416,0.8436534065163463,0.3152215246401679,0.003880277918654925,src256_reg1e+05_mesh30x30,
phase1,256,1000000.0,30x30,442.8757842142651,346249.9746735201,0.00492391988500696,2934766.2305919393,0.8836360107855499,0.3564856294783492,0.004257661433820751,src256_reg1e+06_mesh30x30,
truth_sb,512,,,,,0.06708713590265718,2788558.3465184257,0.9975304066746501,0.012680747018644294,0.052313922848556856,src512_regnone_meshdefault_truthSB,
phase1,512,1000.0,20x20,0.8608938325522335,345339.39340581105,0.004853131504391935,2934932.7248631455,0.7059148609200743,0.4962974962270081,0.0040236538382038296,src512_reg1e+03_mesh20x20,
phase1,512,10000.0,20x20,16.823976667630067,346235.4674980166,0.004869534641498704,2934894.1446846705,0.8295330995719632,0.35947633905448323,0.0038943600260181524,src512_reg1e+04_mesh20x20,
phase1,512,100000.0,20x20,33.71222722868114,346642.44310670404,0.004831793198057432,2934982.9125596443,0.8442707134456024,0.31428263756274855,0.0038802779186549244,src512_reg1e+05_mesh20x20,
phase1,512,1000000.0,20x20,442.8757842142651,346249.9746735201,0.0049169261040416514,2934782.6799647696,0.8851554477470704,0.3565780538333726,0.004257661433820751,src512_reg1e+06_mesh20x20,
phase1,512,1000.0,30x30,0.8608995349141488,345339.39311642153,0.00485314207589218,2934932.699998977,0.7059145423466093,0.4962933343963062,0.004023647881348444,src512_reg1e+03_mesh30x30,
phase1,512,10000.0,30x30,16.823976667630067,346235.4674980166,0.004869534641498704,2934894.1446846705,0.8295330995719632,0.35947633905448323,0.0038943600260181524,src512_reg1e+04_mesh30x30,
phase1,512,100000.0,30x30,33.71222180361549,346642.44310207426,0.004831793191790131,2934982.9125743853,0.8442707157971755,0.3142826381224039,0.003880277928038553,src512_reg1e+05_mesh30x30,
phase1,512,1000000.0,30x30,442.8757842142651,346249.9746735201,0.0049169261040416514,2934782.6799647696,0.8851554477470704,0.3565780538333726,0.004257661433820751,src512_reg1e+06_mesh30x30,
