galaxies.source.turnover_radius,galaxies.source.centre.centre_0,galaxies.source.centre.centre_1,galaxies.source.z_centre,galaxies.source.effective_radius,galaxies.source.phi,galaxies.source.inclination,galaxies.source.intensity,galaxies.source.maximum_velocity,galaxies.source.velocity_dispersion,    log_likelihood,         log_prior,     log_posterior,                weight
                0.0013280313018,               0.05958988129217,               0.10647497247756,        0.19228115625723,            0.012998410499008458,   8.93192829878085,          87.79583256474464,        0.273403704444399,              250.75087680690703,                  58.89427637732981, 4673292.553415027,  80.5900783227378, 4673373.143493351,1.0452554139582645e-10
                0.0013280313018,               0.05958988129217,               0.10647497247756,        0.19228115625723,            0.012998410499008458,   8.93192829878085,          87.79583256474464,        0.273403704444399,              250.75087680690703,                  58.89427637732981, 4673292.553415027,  80.5900783227378, 4673373.143493351,1.0697747774447399e-10
                8.268414707e-05,               0.06014066857149,               0.10320905531445,         1.2630426618589,            0.012692497461785352,   7.22197157483212,          88.56763353029586,      0.26748819473874613,              240.55438861990197,                  56.84123242097689, 4673292.603911584,  82.5251835488439, 4673375.129095133,1.0865581474238044e-10
               0.00434512683003,               0.05894870098797,               0.10074396853587,        0.02623885487897,            0.012057052887026297,    9.1761322017561,           87.7781752287499,      0.27203218910124444,               261.0677810796619,                  57.82889540525147, 4673292.617029996, 86.61504307230813, 4673379.232073068,1.1157622319199293e-10
               0.00274783008202,               0.05930534704059,               0.10702805663774,        0.71218265933407,            0.014310083914850637,   9.63905572114281,          88.71893110139219,       0.2623783521243824,               253.4545818067892,                  59.37631951613226, 4673292.619592509, 73.69208221015079,  4673366.31167472,1.1189268066741074e-10
               0.00481372831581,               0.05915498001964,                0.1027022751657,         0.3471159651104,            0.013563013235093038,   9.38812564702292,          88.38266937649114,       0.2638156759129954,              260.85277620958686,                  57.75353061594146, 4673292.653597049, 77.52045411233047, 4673370.174051162,1.1340663506728158e-10
               0.00323274628096,               0.05947773612968,               0.09918282769578,        0.27334790113479,            0.011832940988677175,   8.05608577770319,          88.42967749670237,      0.26688741382378733,              251.51107469389171,                  55.38340633159945, 4673292.681838913,   88.256742563007, 4673380.938581476,1.1640444545746022e-10
               0.00354664970129,                0.0598233652605,               0.09812159426876,         0.0873706222107,            0.010819179380354019,   7.66443001118036,          87.80399213175008,       0.2638903604477506,              256.27186452812634,                  55.13312053296904, 4673292.813346874, 96.21790436435495, 4673389.031251239,1.2571515038987143e-10
                6.614626138e-05,               0.06067480247977,               0.10301253220547,         0.4931080191502,            0.012974341861961058,   6.04152613748287,           88.1959801638075,      0.26404315549998203,              245.12455836349255,                  58.38429828057849, 4673292.813939443, 80.86246016463323, 4673373.676399607,1.3334252139046544e-10
                6.614626138e-05,               0.06067480247977,               0.10301253220547,         0.4931080191502,            0.012974341861961058,   6.04152613748287,           88.1959801638075,      0.26404315549998203,              245.12455836349255,                  58.38429828057849, 4673292.813939443, 80.86246016463323, 4673373.676399607,1.3338202872022093e-10
