galaxies.source.centre.centre_0,galaxies.source.centre.centre_1,    log_likelihood,          log_prior,     log_posterior,                weight
          0.0012074460999436103,             0.1986031932473532,-755606.7413443829,0.07888937258825958,-755606.6624550102,1.4073081447951097e-08
          0.0007952493118062127,            0.20209181211894245,-755605.5069736557,0.08168346589397173,-755605.4252901898, 5.945119383662129e-08
          0.0007952493118062127,            0.20209181211894245,-755605.5069736557,0.08168346589397173,-755605.4252901898, 9.209972513061548e-08
          0.0007952493118062127,            0.20209181211894245,-755605.5069736557,0.08168346589397173,-755605.4252901898, 9.209972513061548e-08
         -0.0008574102822649268,            0.20083533103839354,-755598.3790052305,0.08067113069138651,-755598.2983340998, 4.923423774274447e-05
         -0.0007644788059123794,            0.20103634609361165, -755598.299198381,0.08083239375703019,-755598.2183659873, 9.759669363556109e-05
         -0.0006536180939778957,            0.19951322411364011,-755596.5569399375,0.07961190762566472,-755596.4773280299, 0.0003242926217702642
         -0.0006536180939778957,            0.19951322411364011,-755596.5569399375,0.07961190762566472,-755596.4773280299, 0.0005519289861769989
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0008778873475201177
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
          0.0009701604037811412,             0.2008977891096902, -755595.634261844,0.08072172576074124,-755595.5535401183, 0.0012564103742160107
