galaxies.lens.multipole_m4.centre.centre_0,galaxies.lens.multipole_m4.centre.centre_1,    log_likelihood,log_prior,     log_posterior,weight
                          0.20904137453245,                          0.05229421370555,212724.27065489482,      0.0,212724.27065489482,   1.0
                          0.20904138453245,                          0.05229421370555,212724.27066865208,      0.0,212724.27066865208,   1.0
                          0.20904137453245,                          0.05229422370555,212724.27066973544,      0.0,212724.27066973544,   1.0
                        0.8888735133458318,                        0.7856619679983216,210442.87134966502,      0.0,210442.87134966502,   1.0
                        0.8888735233458318,                        0.7856619679983216,210442.87146207073,      0.0,210442.87146207073,   1.0
                        0.8888735133458318,                        0.7856619779983216,210442.87153621952,      0.0,210442.87153621952,   1.0
                        0.2313449025349951,                        0.0763541063028349,212738.85025730205,      0.0,212738.85025730205,   1.0
                        0.2313449125349951,                        0.0763541063028349,212738.85024650255,      0.0,212738.85024650255,   1.0
                        0.2313449025349951,                        0.0763541163028349,212738.85023654523,      0.0,212738.85023654523,   1.0
                       0.21958658201488174,                       0.06366983819932698,212751.92890875152,      0.0,212751.92890875152,   1.0
                       0.21958659201488173,                       0.06366983819932698,212751.92891318255,      0.0,212751.92891318255,   1.0
                       0.21958658201488174,                       0.06366984819932697, 212751.9289183735,      0.0, 212751.9289183735,   1.0
                       0.22538601545992892,                       0.08323344606506292,212730.34068282275,      0.0,212730.34068282275,   1.0
                       0.22538602545992892,                       0.08323344606506292,212730.34067503567,      0.0,212730.34067503567,   1.0
                       0.22538601545992892,                       0.08323345606506291,212730.34065641536,      0.0,212730.34065641536,   1.0
                       0.22086295155914046,                       0.06797549900089558,212753.32607456332,      0.0,212753.32607456332,   1.0
                       0.22086296155914045,                       0.06797549900089558, 212753.3260773935,      0.0, 212753.3260773935,   1.0
                       0.22086295155914046,                       0.06797550900089558,212753.32607302396,      0.0,212753.32607302396,   1.0
                       0.22238392329107745,                       0.06748716446912156,212752.78364865895,      0.0,212752.78364865895,   1.0
                       0.22238393329107745,                       0.06748716446912156, 212752.7836524036,      0.0, 212752.7836524036,   1.0
                       0.22238392329107745,                       0.06748717446912156, 212752.7836457602,      0.0, 212752.7836457602,   1.0
                        0.2209884144591008,                       0.06793521694619288,212753.24726660657,      0.0,212753.24726660657,   1.0
                        0.2209884244591008,                       0.06793521694619288, 212753.2472673489,      0.0, 212753.2472673489,   1.0
                        0.2209884144591008,                       0.06793522694619288,212753.24726426194,      0.0,212753.24726426194,   1.0
                       0.22087120318317804,                       0.06797284967291917,212753.32514051988,      0.0,212753.32514051988,   1.0
                       0.22087121318317804,                       0.06797284967291917,212753.32514533578,      0.0,212753.32514533578,   1.0
                       0.22087120318317804,                       0.06797285967291916,  212753.325143562,      0.0,  212753.325143562,   1.0
                       0.22086410315907337,                       0.06797512925962938,212753.32631335245,      0.0,212753.32631335245,   1.0
                       0.22086411315907337,                       0.06797512925962938,212753.32631584216,      0.0,212753.32631584216,   1.0
                       0.22086410315907337,                       0.06797513925962938,  212753.326314902,      0.0,  212753.326314902,   1.0
                       0.22086410315907337,                       0.06797512925962938,212753.32631335245,      0.0,212753.32631335245,   1.0
