3.422292102962507602e-08,5.621303140450254616e-09,4.931658623590092859e-09,-8.973700938071384509e-07,5.567916930947886234e-09,-1.150971532460056986e-06,1.471853337081084125e-05,-7.696769528915316926e-08,2.738159176351784757e-05,1.103346071328151945e-05
5.621303140450255443e-09,2.209584449308586182e-06,6.196177665158258412e-07,-2.842518453627183235e-06,-5.644407094969362521e-07,6.075572783813432565e-04,-9.791363256176196985e-04,-2.798561684013914748e-06,2.929746284632419196e-03,-1.556829906911536292e-05
4.931658623590091205e-09,6.196177665158258412e-07,7.586318097639930220e-07,5.441431031955156408e-06,-3.713827024936401495e-07,1.643706388625855550e-04,3.986472517543274748e-04,-1.484051109665053746e-06,-1.076877631002779497e-03,1.783775545887482329e-04
-8.973700938071382392e-07,-2.842518453627183235e-06,5.441431031955156408e-06,2.993565945876531728e-03,-2.288577981846217735e-06,-1.450819196655106589e-03,1.100970594567108625e-04,4.703345293569979196e-05,-5.958393595461126784e-03,1.698957311233248446e-02
5.567916930947884580e-09,-5.644407094969363580e-07,-3.713827024936402025e-07,-2.288577981846217735e-06,1.269718333457503675e-06,-3.147764149091535394e-04,7.082747433086679281e-04,2.158245576643681604e-06,-1.835304121564956727e-03,8.084645493654300493e-05
-1.150971532460056986e-06,6.075572783813432565e-04,1.643706388625855550e-04,-1.450819196655106589e-03,-3.147764149091535394e-04,6.412353693152454959e-01,-1.430422903930848921e+00,1.446230029484687812e-04,4.471315274638883785e+00,7.460560936557564249e-02
1.471853337081084125e-05,-9.791363256176194817e-04,3.986472517543275290e-04,1.100970594567117299e-04,7.082747433086680365e-04,-1.430422903930849143e+00,7.776322308636431480e+00,-2.170836531077605276e-03,-2.201571117497491414e+01,-1.416564699865110744e-01
-7.696769528915315603e-08,-2.798561684013914748e-06,-1.484051109665053957e-06,4.703345293569979874e-05,2.158245576643681604e-06,1.446230029484687812e-04,-2.170836531077605276e-03,2.241805164350677362e-05,7.877445142432619798e-03,1.765929845387853320e-03
2.738159176351785435e-05,2.929746284632419196e-03,-1.076877631002779497e-03,-5.958393595461128518e-03,-1.835304121564956727e-03,4.471315274638883785e+00,-2.201571117497491414e+01,7.877445142432619798e-03,6.521558324817789298e+01,8.889217153186257381e-01
1.103346071328151776e-05,-1.556829906911535614e-05,1.783775545887482600e-04,1.698957311233248446e-02,8.084645493654300493e-05,7.460560936557565637e-02,-1.416564699865111299e-01,1.765929845387853320e-03,8.889217153186259601e-01,1.793541158299515104e+00
