galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           0.9728399094623792,222576.61443005968, 0.02753574325979893,222576.64196580293,   1.0
                                           0.9728399094623792,222576.61443005968, 0.02753574325979893,222576.64196580293,   1.0
                                           0.9728399194623792,222576.61443005968,0.027535732980615377,222576.64196579266,   1.0
                                          -0.0271600905376208,               nan,                -inf,               nan,   1.0
                                        -0.027160080537620798,               nan,                -inf,               nan,   1.0
                                           0.9728399094623792,222576.61443005968, 0.02753574325979893,222576.64196580293,   1.0
                                           0.9728399194623792,222576.61443005968,0.027535732980615377,222576.64196579266,   1.0
                                           0.9728399094623792,222576.61443005968, 0.02753574325979893,222576.64196580293,   1.0
