galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           1.0468528069242542,252150.12635034317,-0.04578833645064839, 252150.0805620067,   1.0
                                           1.0468528069242542,252150.12635034317,-0.04578833645064839, 252150.0805620067,   1.0
                                           1.0468528169242541,252150.12635034224, -0.0457883460030896,252150.08056199623,   1.0
                                         0.046852806924254156,252150.21667388972,  3.0607443590880608,252153.27741824882,   1.0
                                          0.04685281692425416,252150.21667388885,   3.060744145653699, 252153.2774180345,   1.0
                                           -3.953147193075746,               nan,                -inf,               nan,   1.0
                                           -3.953147183075746,               nan,                -inf,               nan,   1.0
                                         0.046852806924254156,252150.21667388972,  3.0607443590880608,252153.27741824882,   1.0
                                          0.04685281692425416,252150.21667388885,   3.060744145653699, 252153.2774180345,   1.0
                                          -42.817268682571964,               nan,                -inf,               nan,   1.0
                                           -42.81726867257196,               nan,                -inf,               nan,   1.0
                                         0.046852806924254156,252150.21667388972,  3.0607443590880608,252153.27741824882,   1.0
                                          0.04685281692425416,252150.21667388885,   3.060744145653699, 252153.2774180345,   1.0
                                         0.046852806924254156,252150.21667388972,  3.0607443590880608,252153.27741824882,   1.0
