galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                           1.0774740006163286,222512.97539561577,-0.07461941334625241, 222512.9007762024,   1.0
                                           1.0774740006163286,222512.97539561577,-0.07461941334625241, 222512.9007762024,   1.0
                                           1.0774740106163285, 222512.9753956155,-0.07461942262721871,222512.90077619287,   1.0
                                          0.07747400061632864,222512.99876471545,    2.55781287482581,222515.55657759027,   1.0
                                          0.07747401061632864,222512.99876471522,  2.5578127457502586,222515.55657746096,   1.0
                                           -3.922525999383671,               nan,                -inf,               nan,   1.0
                                          -3.9225259893836713,               nan,                -inf,               nan,   1.0
                                          0.07747400061632864,222512.99876471545,    2.55781287482581,222515.55657759027,   1.0
                                          0.07747401061632864,222512.99876471522,  2.5578127457502586,222515.55657746096,   1.0
                                           -25.78418975684968,               nan,                -inf,               nan,   1.0
                                           -25.78418974684968,               nan,                -inf,               nan,   1.0
                                          0.07747400061632864,222512.99876471545,    2.55781287482581,222515.55657759027,   1.0
                                          0.07747401061632864,222512.99876471522,  2.5578127457502586,222515.55657746096,   1.0
                                          0.07747400061632864,222512.99876471545,    2.55781287482581,222515.55657759027,   1.0
