3.219681245450608722e-08,-1.017634292855458879e-08,-1.717830925341600133e-08,6.587538557176393478e-08,8.252521637928345574e-08,7.090903831918105127e-06,-1.429422913897570827e-07,1.365335295000413788e-09,4.527734355320309824e-05,-3.186288148290475640e-05
-1.017634292855458714e-08,3.185288002362872847e-06,6.953416790552027590e-07,8.883815650115283924e-06,-1.305083670641014903e-06,2.169330234464245959e-05,-5.486456472366274556e-05,-6.701134027875001256e-08,2.555740638861364556e-04,3.945741748344604063e-04
-1.717830925341600795e-08,6.953416790552027590e-07,9.137560872478948770e-07,1.061556247093529216e-05,-1.493016653173340892e-07,-1.578273110460946479e-04,-6.224461148393036717e-05,-8.758796257558929912e-09,3.145813997921354617e-05,1.529947224793494509e-04
6.587538557176397449e-08,8.883815650115283924e-06,1.061556247093529216e-05,1.525697653579256808e-03,-1.619461167529857490e-05,-2.820339905792468207e-03,-8.021884658613836604e-04,-1.022343431253449873e-06,-4.080350534658286343e-02,3.360834717750458070e-03
8.252521637928345574e-08,-1.305083670641014903e-06,-1.493016653173340627e-07,-1.619461167529857829e-05,1.058087469951568595e-05,1.532603064097348851e-04,2.209829146850873761e-04,3.272065705286772303e-07,1.242974453193093068e-03,-1.949370058770016597e-03
7.090903831918105127e-06,2.169330234464246637e-05,-1.578273110460946479e-04,-2.820339905792468207e-03,1.532603064097349393e-04,1.211596873349817388e-01,1.187036931663162584e-02,1.301949021907549924e-05,1.821266355049157848e-01,-3.694054215919256173e-02
-1.429422913897570298e-07,-5.486456472366275911e-05,-6.224461148393036717e-05,-8.021884658613835520e-04,2.209829146850873761e-04,1.187036931663162584e-02,4.044579187147228500e-02,4.403768568061504326e-06,2.228012634282791789e-03,-7.045362469402802197e-02
1.365335295000412961e-09,-6.701134027875001256e-08,-8.758796257558931567e-09,-1.022343431253449873e-06,3.272065705286772303e-07,1.301949021907549585e-05,4.403768568061504326e-06,3.731434950395122644e-08,7.237218328911999702e-05,6.419600587163209896e-05
4.527734355320309824e-05,2.555740638861365099e-04,3.145813997921353261e-05,-4.080350534658286343e-02,1.242974453193092851e-03,1.821266355049157848e-01,2.228012634282789187e-03,7.237218328911999702e-05,3.314104409404995621e+00,-3.862211794036070622e-01
-3.186288148290475640e-05,3.945741748344604605e-04,1.529947224793494237e-04,3.360834717750458070e-03,-1.949370058770016380e-03,-3.694054215919256173e-02,-7.045362469402802197e-02,6.419600587163209896e-05,-3.862211794036070622e-01,3.743968515952856180e+00
