galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,     log_posterior,weight
                                            1.068030179316084,222520.61261936888,-0.06581599792535489,222520.54680337096,   1.0
                                            1.068030179316084,222520.61261936888,-0.06581599792535489,222520.54680337096,   1.0
                                            1.068030189316084,222520.61261936725,-0.06581600728838609,222520.54680335996,   1.0
                                          0.06803017931608407,222520.77626183984,   2.687803858790275,222523.46406569864,   1.0
                                          0.06803018931608407, 222520.7762618382,     2.6878037117967,   222523.46406555,   1.0
                                           -3.931969820683916,               nan,                -inf,               nan,   1.0
                                           -3.931969810683916,               nan,                -inf,               nan,   1.0
                                          0.06803017931608407,222520.77626183984,   2.687803858790275,222523.46406569864,   1.0
                                          0.06803018931608407, 222520.7762618382,     2.6878037117967,   222523.46406555,   1.0
                                          -29.658622264838517,               nan,                -inf,               nan,   1.0
                                          -29.658622254838516,               nan,                -inf,               nan,   1.0
                                          0.06803017931608407,222520.77626183984,   2.687803858790275,222523.46406569864,   1.0
                                          0.06803018931608407, 222520.7762618382,     2.6878037117967,   222523.46406555,   1.0
                                          0.06803017931608407,222520.77626183984,   2.687803858790275,222523.46406569864,   1.0
